exponent,        func_exp,       original_exp,        Error
-5.000000000000000,0.006737946999088,0.006737946999085,0.000000000000003
-4.990000000000000,0.006805664492233,0.006805664492231,0.000000000000003
-4.980000000000000,0.006874062557499,0.006874062557496,0.000000000000003
-4.970000000000001,0.006943148034749,0.006943148034746,0.000000000000003
-4.960000000000001,0.007012927832588,0.007012927832585,0.000000000000003
-4.950000000000001,0.007083408929055,0.007083408929052,0.000000000000003
-4.940000000000001,0.007154598372317,0.007154598372315,0.000000000000003
-4.930000000000001,0.007226503281379,0.007226503281376,0.000000000000003
-4.920000000000002,0.007299130846791,0.007299130846789,0.000000000000003
-4.910000000000002,0.007372488331371,0.007372488331368,0.000000000000003
-4.900000000000002,0.007446583070927,0.007446583070924,0.000000000000003
-4.890000000000002,0.007521422474996,0.007521422474993,0.000000000000003
-4.880000000000003,0.007597014027580,0.007597014027578,0.000000000000003
-4.870000000000003,0.007673365287898,0.007673365287895,0.000000000000003
-4.860000000000003,0.007750483891140,0.007750483891137,0.000000000000003
-4.850000000000003,0.007828377549229,0.007828377549226,0.000000000000003
-4.840000000000003,0.007907054051596,0.007907054051593,0.000000000000003
-4.830000000000004,0.007986521265958,0.007986521265955,0.000000000000003
-4.820000000000004,0.008066787139103,0.008066787139100,0.000000000000003
-4.810000000000004,0.008147859697683,0.008147859697680,0.000000000000003
-4.800000000000004,0.008229747049023,0.008229747049020,0.000000000000003
-4.790000000000004,0.008312457381926,0.008312457381923,0.000000000000003
-4.780000000000005,0.008395998967495,0.008395998967491,0.000000000000003
-4.770000000000005,0.008480380159957,0.008480380159953,0.000000000000003
-4.760000000000005,0.008565609397501,0.008565609397498,0.000000000000003
-4.750000000000005,0.008651695203124,0.008651695203121,0.000000000000003
-4.740000000000006,0.008738646185477,0.008738646185473,0.000000000000003
-4.730000000000006,0.008826471039730,0.008826471039727,0.000000000000003
-4.720000000000006,0.008915178548443,0.008915178548439,0.000000000000003
-4.710000000000006,0.009004777582440,0.009004777582437,0.000000000000003
-4.700000000000006,0.009095277101699,0.009095277101696,0.000000000000003
-4.690000000000007,0.009186686156248,0.009186686156245,0.000000000000003
-4.680000000000007,0.009279013887069,0.009279013887065,0.000000000000004
-4.670000000000007,0.009372269527009,0.009372269527006,0.000000000000003
-4.660000000000007,0.009466462401714,0.009466462401710,0.000000000000003
-4.650000000000007,0.009561601930547,0.009561601930543,0.000000000000004
-4.640000000000008,0.009657697627542,0.009657697627538,0.000000000000004
-4.630000000000008,0.009754759102346,0.009754759102343,0.000000000000004
-4.620000000000008,0.009852796061191,0.009852796061187,0.000000000000004
-4.610000000000008,0.009951818307852,0.009951818307848,0.000000000000003
-4.600000000000009,0.010051835744637,0.010051835744633,0.000000000000004
-4.590000000000009,0.010152858373374,0.010152858373370,0.000000000000004
-4.580000000000009,0.010254896296408,0.010254896296404,0.000000000000004
-4.570000000000009,0.010357959717617,0.010357959717614,0.000000000000004
-4.560000000000009,0.010462058943431,0.010462058943427,0.000000000000004
-4.550000000000010,0.010567204383857,0.010567204383853,0.000000000000004
-4.540000000000010,0.010673406553527,0.010673406553523,0.000000000000004
-4.530000000000010,0.010780676072747,0.010780676072743,0.000000000000004
-4.520000000000010,0.010889023668559,0.010889023668554,0.000000000000004
-4.510000000000010,0.010998460175811,0.010998460175807,0.000000000000004
-4.500000000000011,0.011108996538246,0.011108996538242,0.000000000000004
-4.490000000000011,0.011220643809593,0.011220643809589,0.000000000000004
-4.480000000000011,0.011333413154671,0.011333413154667,0.000000000000004
-4.470000000000011,0.011447315850509,0.011447315850506,0.000000000000004
-4.460000000000012,0.011562363287472,0.011562363287468,0.000000000000004
-4.450000000000012,0.011678566970399,0.011678566970395,0.000000000000004
-4.440000000000012,0.011795938519755,0.011795938519751,0.000000000000004
-4.430000000000012,0.011914489672793,0.011914489672789,0.000000000000004
-4.420000000000012,0.012034232284728,0.012034232284724,0.000000000000004
-4.410000000000013,0.012155178329919,0.012155178329915,0.000000000000004
-4.400000000000013,0.012277339903072,0.012277339903068,0.000000000000004
-4.390000000000013,0.012400729220447,0.012400729220443,0.000000000000004
-4.380000000000013,0.012525358621078,0.012525358621074,0.000000000000004
-4.370000000000013,0.012651240568009,0.012651240568005,0.000000000000004
-4.360000000000014,0.012778387649540,0.012778387649536,0.000000000000004
-4.350000000000014,0.012906812580484,0.012906812580480,0.000000000000004
-4.340000000000014,0.013036528203442,0.013036528203438,0.000000000000004
-4.330000000000014,0.013167547490084,0.013167547490080,0.000000000000004
-4.320000000000014,0.013299883542448,0.013299883542444,0.000000000000004
-4.310000000000015,0.013433549594250,0.013433549594245,0.000000000000004
-4.300000000000015,0.013568559012205,0.013568559012201,0.000000000000005
-4.290000000000015,0.013704925297369,0.013704925297365,0.000000000000005
-4.280000000000015,0.013842662086484,0.013842662086479,0.000000000000004
-4.270000000000016,0.013981783153343,0.013981783153338,0.000000000000005
-4.260000000000016,0.014122302410168,0.014122302410164,0.000000000000005
-4.250000000000016,0.014264233909004,0.014264233908999,0.000000000000005
-4.240000000000016,0.014407591843117,0.014407591843112,0.000000000000005
-4.230000000000016,0.014552390548421,0.014552390548416,0.000000000000005
-4.220000000000017,0.014698644504906,0.014698644504902,0.000000000000005
-4.210000000000017,0.014846368338091,0.014846368338087,0.000000000000005
-4.200000000000017,0.014995576820482,0.014995576820477,0.000000000000005
-4.190000000000017,0.015146284873052,0.015146284873047,0.000000000000005
-4.180000000000017,0.015298507566730,0.015298507566725,0.000000000000005
-4.170000000000018,0.015452260123914,0.015452260123909,0.000000000000005
